material,frequency,reflection_eff
diamond,2.0030000209808,5.8131164486515
diamond,3.0060000419617,6.2932634397980
diamond,4.0089998245239,3.3604843414031
diamond,5.0120000839233,34.245726676777
diamond,6.0149998664856,3.3107933045763
diamond,7.0009999275208,5.5773317821852
diamond,8.0039997100830,6.4993093346520
diamond,9.0069999694824,3.2816415940700
diamond,10.010000228882,28.113433888029
diamond,11.012999534607,3.3759407308543
diamond,12.015999794006,5.7716921015994
diamond,13.001999855042,6.4341864656397
diamond,14.005000114441,3.2584862657376
diamond,15.008000373840,31.947278072881
diamond,16.010999679565,3.3463411444172
diamond,17.013999938965,6.1761625048145
diamond,18.000000000000,6.0030156597317
ECCOSORB_BSR1,1.0000000000000,9.7365608625412
ECCOSORB_BSR1,2.0030000209808,8.6423281114703
ECCOSORB_BSR1,3.0060000419617,8.2166588458122
ECCOSORB_BSR1,4.0089998245239,7.8161016975205
ECCOSORB_BSR1,5.0120000839233,7.5135715592513
ECCOSORB_BSR1,6.0149998664856,7.2557657246972
ECCOSORB_BSR1,7.0009999275208,6.9756766772707
ECCOSORB_BSR1,8.0039997100830,6.7009427375369
ECCOSORB_BSR1,9.0069999694824,6.4373957795531
ECCOSORB_BSR1,10.010000228882,6.1695504176967
ECCOSORB_BSR1,11.012999534607,5.9198548437807
ECCOSORB_BSR1,12.015999794006,5.6865958658532
ECCOSORB_BSR1,13.001999855042,5.4646256344410
ECCOSORB_BSR1,14.005000114441,5.2644785956227
ECCOSORB_BSR1,15.008000373840,5.0836832864907
ECCOSORB_BSR1,16.010999679565,4.9070665572404
ECCOSORB_BSR1,17.013999938965,4.7673743956516
ECCOSORB_BSR1,18.000000000000,4.6434630061075
epoxy_resin,1.0000000000000,5.2274233734857
epoxy_resin,2.0030000209808,5.2459404994990
epoxy_resin,3.0060000419617,42.233416854213
epoxy_resin,4.0089998245239,5.1843265530299
epoxy_resin,5.0120000839233,5.2940158349663
epoxy_resin,6.0149998664856,34.739694220653
epoxy_resin,7.0009999275208,5.1859803115197
epoxy_resin,8.0039997100830,5.3001288405877
epoxy_resin,9.0069999694824,33.409782130954
epoxy_resin,10.010000228882,5.1081144174307
epoxy_resin,11.012999534607,5.4063182830712
epoxy_resin,12.015999794006,27.018775073866
epoxy_resin,13.001999855042,5.0548403130111
epoxy_resin,14.005000114441,5.4983737145243
epoxy_resin,15.008000373840,23.788325547264
epoxy_resin,16.010999679565,4.9226936548360
epoxy_resin,17.013999938965,5.7551036951099
epoxy_resin,18.000000000000,20.273111922763
FR4,1.0000000000000,4.5878723669992
FR4,2.0030000209808,5.3551943984517
FR4,3.0060000419617,18.372575395874
FR4,4.0089998245239,4.6826059744090
FR4,5.0120000839233,6.4644315322753
FR4,6.0149998664856,13.582014075994
FR4,7.0009999275208,4.8376805929819
FR4,8.0039997100830,7.6563404313190
FR4,9.0069999694824,11.505605899758
FR4,10.010000228882,5.0264357200274
FR4,11.012999534607,9.1557986528275
FR4,12.015999794006,9.8596856359868
FR4,13.001999855042,5.2567667416469
FR4,14.005000114441,10.679257746234
FR4,15.008000373840,8.8122102359902
FR4,16.010999679565,5.5376664164435
FR4,17.013999938965,12.837038979469
FR4,18.000000000000,7.9826538851690
lead_glass,1.0000000000000,3.0243788917077
lead_glass,2.0030000209808,6.0571754059137
lead_glass,3.0060000419617,5.2078828556724
lead_glass,4.0089998245239,3.4774370746561
lead_glass,5.0120000839233,16.116215122974
lead_glass,6.0149998664856,2.9190202833660
lead_glass,7.0009999275208,8.1492833547377
lead_glass,8.0039997100830,4.2436275106342
lead_glass,9.0069999694824,3.7395232083595
lead_glass,10.010000228882,10.754272710630
lead_glass,11.012999534607,2.9433943064511
lead_glass,12.015999794006,12.692019832683
lead_glass,13.001999855042,3.6023966565417
lead_glass,14.005000114441,4.5631355940132
lead_glass,15.008000373840,7.0561177835620
lead_glass,16.010999679565,2.9579454465808
lead_glass,17.013999938965,28.906377206685
lead_glass,18.000000000000,3.3516143086763
loamy_soi,1.0000000000000,2.3188660880647
loamy_soi,2.0030000209808,2.6457045050990
loamy_soi,3.0060000419617,7.0502133180146
loamy_soi,4.0089998245239,3.3328907976329
loamy_soi,5.0120000839233,4.4893225899033
loamy_soi,6.0149998664856,5.1049585475600
loamy_soi,7.0009999275208,4.0925932337865
loamy_soi,8.0039997100830,4.9958938834444
loamy_soi,9.0069999694824,4.5513791875108
loamy_soi,10.010000228882,4.7063496340552
loamy_soi,11.012999534607,4.8145861585793
loamy_soi,12.015999794006,4.6989410369749
loamy_soi,13.001999855042,4.8617932016672
loamy_soi,14.005000114441,4.7914658066386
loamy_soi,15.008000373840,4.8658801464981
loamy_soi,16.010999679565,4.8739349194301
loamy_soi,17.013999938965,4.8868190911246
loamy_soi,18.000000000000,4.9215427300064
mica,1.0000000000000,3.0019010679936
mica,2.0030000209808,6.1893388406372
mica,3.0060000419617,5.0752836669430
mica,4.0089998245239,3.5403423875292
mica,5.0120000839233,14.403933909253
mica,6.0149998664856,2.9035858016474
mica,7.0009999275208,9.0635222032724
mica,8.0039997100830,3.9874285894425
mica,9.0069999694824,3.9528097596082
mica,10.010000228882,9.1247146265871
mica,11.012999534607,2.9576143716645
mica,12.015999794006,16.376905455830
mica,13.001999855042,3.3774218383730
mica,14.005000114441,5.2022563483315
mica,15.008000373840,5.7964019466321
mica,16.010999679565,3.1022698029292
mica,17.013999938965,20.917765936334
mica,18.000000000000,3.1054822990773
polycarbonate,1.0000000000000,8.2792093813691
polycarbonate,2.0030000209808,6.8759432876146
polycarbonate,3.0060000419617,11.738140998886
polycarbonate,4.0089998245239,14.888523666707
polycarbonate,5.0120000839233,7.2978483314070
polycarbonate,6.0149998664856,7.7105822987887
polycarbonate,7.0009999275208,20.402947625352
polycarbonate,8.0039997100830,10.467987580040
polycarbonate,9.0069999694824,6.9076146766634
polycarbonate,10.010000228882,10.096518143177
polycarbonate,11.012999534607,22.344313134926
polycarbonate,12.015999794006,8.1499371357421
polycarbonate,13.001999855042,7.4689142682288
polycarbonate,14.005000114441,14.689625608547
polycarbonate,15.008000373840,12.957763570120
polycarbonate,16.010999679565,7.3184368252341
polycarbonate,17.013999938965,9.0956121125984
polycarbonate,18.000000000000,28.997501986146
polyimide,1.0000000000000,6.3214222795302
polyimide,2.0030000209808,5.6800859700109
polyimide,3.0060000419617,17.191211867207
polyimide,4.0089998245239,7.6141723220756
polyimide,5.0120000839233,5.3510006243758
polyimide,6.0149998664856,11.758089466157
polyimide,7.0009999275208,9.9948224049891
polyimide,8.0039997100830,5.3008078663831
polyimide,9.0069999694824,8.7694571511590
