material,frequency,shielding_eff
FR4,13.001999855042,3.4221760870547
FR4,14.005000114441,2.2899977487804
FR4,15.008000373840,2.6376896737148
FR4,16.010999679565,3.6341137089557
FR4,17.013999938965,2.5159266382991
FR4,18.000000000000,3.1317915936054
lead_glass,1.0000000000000,2.9255617775297
lead_glass,2.0030000209808,1.1069344477095
lead_glass,3.0060000419617,1.5943990078975
lead_glass,4.0089998245239,2.7293346161600
lead_glass,5.0120000839233,0.13250485360845
lead_glass,6.0149998664856,3.0288826459953
lead_glass,7.0009999275208,0.68339195499697
lead_glass,8.0039997100830,2.0607083086235
lead_glass,9.0069999694824,2.4136570894615
lead_glass,10.010000228882,0.38191588676834
lead_glass,11.012999534607,3.0501513174590
lead_glass,12.015999794006,0.25540153926575
lead_glass,13.001999855042,2.5320001998020
